meeting,model,method,persona,accuracy,accuracy_mean,accuracy_std,completeness,completeness_mean,completeness_std,persona_rel,persona_rel_mean,persona_rel_std,fluency,fluency_mean,fluency_std
ES2002a,pegasus,Method2,manager,"[3.6, 3.8, 3.1]",3.5,0.29,"[3.1, 3.7, 3.7]",3.5,0.28,"[4.6, 4.6, 4.3]",4.5,0.14,"[3.9, 3.9, 3.5]",3.77,0.19
ES2002a,pegasus,Method2,engineer,"[4.2, 3.7, 3.1]",3.67,0.45,"[3.8, 3.2, 3.8]",3.6,0.28,"[4.7, 4.0, 4.6]",4.43,0.31,"[3.9, 4.1, 4.5]",4.17,0.25
ES2002a,pegasus,Method2,stakeholder,"[3.4, 3.2, 3.2]",3.27,0.09,"[3.3, 3.5, 3.7]",3.5,0.16,"[4.5, 4.7, 4.4]",4.53,0.12,"[4.3, 3.7, 4.8]",4.27,0.45
ES2002b,flan-t5,Baseline,generic,"[3.0, 2.5, 2.4]",2.63,0.26,"[2.4, 2.1, 2.4]",2.3,0.14,"[2.2, 2.0, 1.7]",1.97,0.21,"[2.7, 3.0, 3.5]",3.07,0.33
ES2002b,flan-t5,Method1,generic,"[3.7, 3.2, 3.7]",3.53,0.24,"[3.9, 3.5, 3.9]",3.77,0.19,"[2.8, 2.4, 2.9]",2.7,0.22,"[3.9, 4.1, 4.1]",4.03,0.09
ES2002b,flan-t5,Method2,manager,"[3.0, 3.2, 3.7]",3.3,0.29,"[3.6, 3.6, 4.7]",3.97,0.52,"[4.7, 4.9, 4.8]",4.8,0.08,"[4.0, 3.7, 4.1]",3.93,0.17
ES2002b,flan-t5,Method2,engineer,"[3.2, 3.4, 3.3]",3.3,0.08,"[3.4, 4.2, 2.7]",3.43,0.61,"[4.5, 3.7, 4.1]",4.1,0.33,"[4.2, 3.8, 3.4]",3.8,0.33
ES2002b,flan-t5,Method2,stakeholder,"[3.2, 3.7, 3.2]",3.37,0.24,"[3.5, 3.4, 3.2]",3.37,0.12,"[5, 4.6, 3.7]",4.43,0.54,"[3.9, 3.6, 4.1]",3.87,0.21
ES2002b,distilbart,Baseline,generic,"[2.5, 2.8, 3.0]",2.77,0.21,"[2.5, 1.8, 2.1]",2.13,0.29,"[1.8, 1.8, 2.6]",2.07,0.38,"[3.5, 3.0, 3.7]",3.4,0.29
ES2002b,distilbart,Method1,generic,"[4.3, 4.0, 3.1]",3.8,0.51,"[3.6, 4.2, 3.6]",3.8,0.28,"[3.0, 3.1, 2.5]",2.87,0.26,"[3.9, 2.8, 3.5]",3.4,0.45
ES2002b,distilbart,Method2,manager,"[3.4, 3.1, 4.1]",3.53,0.42,"[2.9, 3.2, 3.4]",3.17,0.21,"[5, 4.0, 4.9]",4.63,0.45,"[4.0, 3.7, 4.2]",3.97,0.21
ES2002b,distilbart,Method2,engineer,"[3.6, 3.3, 3.5]",3.47,0.12,"[3.3, 3.4, 3.6]",3.43,0.12,"[4.9, 3.9, 5]",4.6,0.5,"[3.3, 3.9, 4.2]",3.8,0.37
ES2002b,distilbart,Method2,stakeholder,"[3.6, 3.3, 3.4]",3.43,0.12,"[3.2, 3.2, 3.7]",3.37,0.24,"[4.5, 4.2, 4.7]",4.47,0.21,"[4.1, 4.3, 4.2]",4.2,0.08
ES2002b,pegasus,Baseline,generic,"[2.5, 2.6, 3.1]",2.73,0.26,"[2.6, 2.3, 2.4]",2.43,0.12,"[2.4, 1.8, 2.2]",2.13,0.25,"[3.1, 3.1, 3.6]",3.27,0.24
ES2002b,pegasus,Method1,generic,"[3.9, 3.9, 4.1]",3.97,0.09,"[4.0, 4.2, 3.8]",4.0,0.16,"[2.9, 2.8, 2.8]",2.83,0.05,"[3.9, 3.4, 4.4]",3.9,0.41
ES2002b,pegasus,Method2,manager,"[3.1, 3.1, 3.9]",3.37,0.38,"[3.8, 3.8, 3.8]",3.8,0.0,"[4.5, 4.2, 4.5]",4.4,0.14,"[3.6, 4.1, 3.7]",3.8,0.22
ES2002b,pegasus,Method2,engineer,"[3.2, 3.4, 3.6]",3.4,0.16,"[3.4, 3.3, 3.6]",3.43,0.12,"[4.4, 4.1, 4.1]",4.2,0.14,"[3.9, 3.3, 3.3]",3.5,0.28
ES2002b,pegasus,Method2,stakeholder,"[3.2, 3.4, 3.6]",3.4,0.16,"[4.1, 3.9, 3.5]",3.83,0.25,"[4.4, 4.0, 4.4]",4.27,0.19,"[3.7, 3.9, 3.5]",3.7,0.16
ES2002c,flan-t5,Baseline,generic,"[3.0, 3.3, 2.8]",3.03,0.21,"[2.3, 2.4, 2.1]",2.27,0.12,"[2.1, 2.0, 2.0]",2.03,0.05,"[2.9, 3.2, 3.4]",3.17,0.21
ES2002c,flan-t5,Method1,generic,"[4.1, 3.9, 4.4]",4.13,0.21,"[3.5, 4.1, 3.9]",3.83,0.25,"[3.6, 2.5, 2.5]",2.87,0.52,"[3.5, 3.0, 3.5]",3.33,0.24
ES2002c,flan-t5,Method2,manager,"[3.2, 3.6, 3.6]",3.47,0.19,"[4.1, 3.7, 3.2]",3.67,0.37,"[4.2, 4.7, 4.0]",4.3,0.29,"[4.4, 4.2, 3.6]",4.07,0.34
ES2002c,flan-t5,Method2,engineer,"[2.9, 4.0, 3.5]",3.47,0.45,"[3.8, 2.8, 3.2]",3.27,0.41,"[4.3, 4.3, 4.1]",4.23,0.09,"[4.0, 3.4, 3.8]",3.73,0.25
ES2002c,flan-t5,Method2,stakeholder,"[3.5, 3.7, 3.7]",3.63,0.09,"[3.0, 2.9, 3.8]",3.23,0.4,"[4.5, 4.1, 4.9]",4.5,0.33,"[3.8, 4.2, 3.8]",3.93,0.19
ES2002c,distilbart,Baseline,generic,"[3.5, 3.4, 2.7]",3.2,0.36,"[2.5, 2.4, 2.7]",2.53,0.12,"[1.7, 2.2, 2.4]",2.1,0.29,"[2.8, 3.0, 2.7]",2.83,0.12
ES2002c,distilbart,Method1,generic,"[3.5, 3.9, 4.1]",3.83,0.25,"[3.8, 4.4, 3.3]",3.83,0.45,"[2.2, 2.8, 2.9]",2.63,0.31,"[3.9, 3.2, 3.9]",3.67,0.33
ES2002c,distilbart,Method2,manager,"[3.0, 3.7, 3.6]",3.43,0.31,"[3.1, 3.2, 3.0]",3.1,0.08,"[4.5, 4.8, 4.2]",4.5,0.24,"[4.2, 3.8, 3.7]",3.9,0.22
ES2002c,distilbart,Method2,engineer,"[3.5, 3.1, 3.3]",3.3,0.16,"[3.0, 4.1, 3.4]",3.5,0.45,"[4.1, 4.4, 4.3]",4.27,0.12,"[3.9, 4.2, 4.3]",4.13,0.17
ES2002c,distilbart,Method2,stakeholder,"[3.3, 3.3, 3.4]",3.33,0.05,"[2.6, 2.9, 3.9]",3.13,0.56,"[5.0, 4.3, 4.6]",4.63,0.29,"[4.1, 5, 4.4]",4.5,0.37
ES2002c,pegasus,Baseline,generic,"[2.8, 2.5, 2.2]",2.5,0.24,"[2.4, 2.1, 1.9]",2.13,0.21,"[1.8, 1.6, 2.6]",2.0,0.43,"[3.5, 3.2, 3.7]",3.47,0.21
ES2002c,pegasus,Method1,generic,"[3.6, 3.3, 4.1]",3.67,0.33,"[4.1, 3.6, 3.9]",3.87,0.21,"[2.5, 2.3, 3.1]",2.63,0.34,"[4.4, 3.2, 3.9]",3.83,0.49
ES2002c,pegasus,Method2,manager,"[3.3, 3.3, 3.3]",3.3,0.0,"[3.2, 3.6, 3.3]",3.37,0.17,"[4.6, 4.5, 4.4]",4.5,0.08,"[3.5, 3.6, 4.1]",3.73,0.26
ES2002c,pegasus,Method2,engineer,"[3.7, 3.2, 3.5]",3.47,0.21,"[3.8, 3.0, 3.7]",3.5,0.36,"[4.1, 4.5, 4.0]",4.2,0.22,"[3.2, 3.2, 3.8]",3.4,0.28
ES2002c,pegasus,Method2,stakeholder,"[3.6, 3.2, 3.7]",3.5,0.22,"[3.0, 3.5, 3.1]",3.2,0.22,"[4.2, 4.4, 4.1]",4.23,0.12,"[3.7, 4.2, 3.6]",3.83,0.26
ES2002d,flan-t5,Baseline,generic,"[3.1, 2.4, 3.0]",2.83,0.31,"[2.7, 1.3, 1.9]",1.97,0.57,"[2.2, 1.9, 2.1]",2.07,0.12,"[3.0, 3.2, 3.1]",3.1,0.08
ES2002d,flan-t5,Method1,generic,"[4.0, 3.7, 3.7]",3.8,0.14,"[3.7, 3.6, 3.6]",3.63,0.05,"[2.9, 2.7, 2.9]",2.83,0.09,"[4.4, 4.0, 3.6]",4.0,0.33
ES2002d,flan-t5,Method2,manager,"[3.9, 3.4, 2.8]",3.37,0.45,"[3.0, 2.7, 3.3]",3.0,0.24,"[4.5, 5, 4.6]",4.7,0.22,"[3.7, 4.1, 3.0]",3.6,0.45
ES2002d,flan-t5,Method2,engineer,"[3.6, 3.8, 3.0]",3.47,0.34,"[3.8, 3.5, 3.3]",3.53,0.21,"[4.5, 5, 4.4]",4.63,0.26,"[3.9, 3.6, 3.5]",3.67,0.17
ES2002d,flan-t5,Method2,stakeholder,"[3.8, 3.2, 3.5]",3.5,0.24,"[3.2, 3.6, 3.5]",3.43,0.17,"[4.8, 4.2, 4.3]",4.43,0.26,"[3.5, 3.6, 3.9]",3.67,0.17
ES2002d,distilbart,Baseline,generic,"[3.1, 2.5, 3.1]",2.9,0.28,"[2.7, 2.3, 2.9]",2.63,0.25,"[1.7, 1.6, 1.4]",1.57,0.12,"[3.9, 3.6, 3.4]",3.63,0.21
ES2002d,distilbart,Method1,generic,"[3.7, 3.2, 4.5]",3.8,0.54,"[3.8, 3.8, 4.1]",3.9,0.14,"[3.0, 2.9, 2.5]",2.8,0.22,"[4.1, 4.6, 4.4]",4.37,0.21
ES2002d,distilbart,Method2,manager,"[4.1, 3.3, 3.2]",3.53,0.4,"[3.4, 3.4, 3.8]",3.53,0.19,"[3.9, 5, 4.4]",4.43,0.45,"[3.9, 3.6, 3.4]",3.63,0.21
ES2002d,distilbart,Method2,engineer,"[3.8, 3.5, 3.0]",3.43,0.33,"[2.9, 3.3, 4.0]",3.4,0.45,"[4.2, 3.8, 4.2]",4.07,0.19,"[3.9, 3.1, 4.0]",3.67,0.4
ES2002d,distilbart,Method2,stakeholder,"[3.4, 3.7, 4.1]",3.73,0.29,"[3.8, 3.3, 3.0]",3.37,0.33,"[5, 4.4, 4.4]",4.6,0.28,"[4.0, 4.1, 3.9]",4.0,0.08
ES2002d,pegasus,Baseline,generic,"[2.6, 2.6, 2.8]",2.67,0.09,"[2.2, 2.1, 2.4]",2.23,0.12,"[1.9, 2.5, 1.1]",1.83,0.57,"[3.6, 3.6, 2.5]",3.23,0.52
ES2002d,pegasus,Method1,generic,"[3.5, 3.5, 3.1]",3.37,0.19,"[3.7, 3.6, 4.6]",3.97,0.45,"[3.1, 3.2, 3.1]",3.13,0.05,"[3.3, 3.5, 3.9]",3.57,0.25
ES2002d,pegasus,Method2,manager,"[3.1, 3.7, 3.4]",3.4,0.24,"[3.4, 3.8, 3.7]",3.63,0.17,"[4.4, 4.9, 4.1]",4.47,0.33,"[4.0, 4.0, 3.7]",3.9,0.14
ES2002d,pegasus,Method2,engineer,"[3.6, 3.1, 3.8]",3.5,0.29,"[3.5, 3.4, 3.9]",3.6,0.22,"[4.1, 3.8, 3.8]",3.9,0.14,"[4.0, 3.4, 4.4]",3.93,0.41
ES2002d,pegasus,Method2,stakeholder,"[2.8, 4.1, 3.6]",3.5,0.54,"[3.5, 3.4, 3.7]",3.53,0.12,"[4.4, 4.8, 4.4]",4.53,0.19,"[3.9, 3.7, 3.8]",3.8,0.08
ES2002e,flan-t5,Baseline,generic,"[2.9, 2.2, 2.3]",2.47,0.31,"[2.5, 2.3, 2.1]",2.3,0.16,"[2.0, 2.1, 1.8]",1.97,0.12,"[2.9, 3.3, 2.9]",3.03,0.19
ES2002e,flan-t5,Method1,generic,"[3.7, 3.0, 4.0]",3.57,0.42,"[4.0, 3.9, 4.1]",4.0,0.08,"[3.4, 3.2, 2.2]",2.93,0.52,"[3.3, 3.5, 3.7]",3.5,0.16
ES2002e,flan-t5,Method2,manager,"[3.7, 3.2, 3.6]",3.5,0.22,"[3.1, 3.2, 2.9]",3.07,0.12,"[4.2, 4.0, 4.2]",4.13,0.09,"[4.2, 3.5, 4.7]",4.13,0.49
ES2002e,flan-t5,Method2,engineer,"[3.7, 3.6, 3.2]",3.5,0.22,"[3.6, 3.2, 3.4]",3.4,0.16,"[5, 4.3, 4.7]",4.67,0.29,"[3.6, 3.8, 4.4]",3.93,0.34
ES2002e,flan-t5,Method2,stakeholder,"[3.3, 4.1, 3.7]",3.7,0.33,"[3.2, 3.6, 3.7]",3.5,0.22,"[4.6, 3.9, 4.1]",4.2,0.29,"[3.7, 3.8, 4.0]",3.83,0.12
ES2002e,distilbart,Baseline,generic,"[2.9, 2.3, 2.9]",2.7,0.28,"[2.4, 2.4, 2.6]",2.47,0.09,"[2.3, 2.2, 2.0]",2.17,0.12,"[2.8, 3.6, 3.5]",3.3,0.36
ES2002e,distilbart,Method1,generic,"[3.7, 3.2, 3.2]",3.37,0.24,"[4.2, 3.8, 4.0]",4.0,0.16,"[2.8, 2.8, 3.1]",2.9,0.14,"[3.7, 3.9, 3.7]",3.77,0.09
ES2002e,distilbart,Method2,manager,"[3.3, 3.4, 3.6]",3.43,0.12,"[3.2, 3.8, 3.1]",3.37,0.31,"[4.4, 4.3, 5]",4.57,0.31,"[4.1, 4.4, 3.5]",4.0,0.37
ES2002e,distilbart,Method2,engineer,"[3.6, 3.8, 3.5]",3.63,0.12,"[3.8, 3.2, 3.9]",3.63,0.31,"[5, 4.2, 4.1]",4.43,0.4,"[4.5, 4.6, 3.8]",4.3,0.36
ES2002e,distilbart,Method2,stakeholder,"[3.4, 3.4, 3.0]",3.27,0.19,"[3.1, 3.0, 3.1]",3.07,0.05,"[4.4, 4.5, 4.9]",4.6,0.22,"[3.7, 4.3, 3.9]",3.97,0.25
ES2002e,pegasus,Baseline,generic,"[2.8, 3.0, 2.4]",2.73,0.25,"[2.5, 2.4, 2.5]",2.47,0.05,"[2.1, 2.9, 1.8]",2.27,0.46,"[3.0, 3.0, 3.0]",3.0,0.0
ES2002e,pegasus,Method1,generic,"[3.4, 4.0, 4.1]",3.83,0.31,"[3.8, 3.7, 4.1]",3.87,0.17,"[2.6, 3.0, 2.9]",2.83,0.17,"[3.2, 4.2, 4.3]",3.9,0.5
ES2002e,pegasus,Method2,manager,"[3.3, 3.4, 3.6]",3.43,0.12,"[3.7, 3.8, 4.3]",3.93,0.26,"[4.4, 4.2, 4.0]",4.2,0.16,"[3.5, 3.8, 4.4]",3.9,0.37
ES2002e,pegasus,Method2,engineer,"[3.3, 3.6, 3.5]",3.47,0.12,"[4.0, 4.4, 3.4]",3.93,0.41,"[4.1, 4.7, 4.5]",4.43,0.25,"[4.4, 4.0, 3.7]",4.03,0.29
ES2002e,pegasus,Method2,stakeholder,"[3.7, 3.9, 3.8]",3.8,0.08,"[3.7, 3.9, 4.0]",3.87,0.12,"[4.9, 4.6, 4.3]",4.6,0.24,"[3.9, 4.2, 3.5]",3.87,0.29
